"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2005:Q1",30,23,0,0,80.0666666666667,10.7333333333333,15.3333333333333,6.2,23.9,26.7,0
"2005:Q2",14,7,0,0,23.1333333333333,17.6333333333333,24.8333333333333,10.5,15,36.7,3.3
"2005:Q3",0,0,0,0,0,23.7,32.9333333333333,14.5,0,40.6,8.3
"2005:Q4",25,13,4,0,84.5333333333333,13.1666666666667,19.4,6.93333333333333,53.8,31.1,-2.2
"2006:Q1",38,24,1,0,83.9333333333333,9.73333333333333,15,4.5,28.2,22.2,-2.2
"2006:Q2",14,10,1,0,30.3,19,26.2,11.8,29,40.6,3.3
"2006:Q3",0,0,0,0,0,23.3333333333333,32.4666666666667,14.1666666666667,0,43.9,8.9
"2006:Q4",18,12,0,0,36.3666666666667,11.9333333333333,18.1333333333333,5.7,25.1,30,-3.3
"2007:Q1",15,11,1,0,41,10.4,17.1333333333333,3.6,26.7,28.3,-6.1
"2007:Q2",8,7,0,0,14.8333333333333,18.9333333333333,27.2333333333333,10.5333333333333,13.2,38.9,2.2
"2007:Q3",4,0,0,0,0.633333333333333,22.8,31.4333333333333,14.2333333333333,0.8,41.7,5.6
"2007:Q4",18,12,1,0,42.9333333333333,12.2,18.5,5.93333333333333,33.5,29.4,-2.2
"2008:Q1",27,19,2,0,72.2,9.9,15.4,4.36666666666667,43.9,23.9,-1.1
"2008:Q2",1,0,0,0,0.333333333333333,18.6666666666667,27.2333333333333,10.1333333333333,1,39.4,1.1
"2008:Q3",0,0,0,0,0,23.5666666666667,32.8666666666667,14.3,0,42.2,10
"2008:Q4",18,10,1,0,40.0666666666667,12.5333333333333,18.6666666666667,6.4,50.5,33.9,-2.8
"2009:Q1",25,17,2,0,72.6333333333333,10.5,16.2333333333333,4.76666666666667,38.4,25.6,-3.9
"2009:Q2",11,7,0,0,25.6666666666667,19.1333333333333,27.1333333333333,11.1,19.6,42.2,3.3
"2009:Q3",2,1,0,0,1.16666666666667,23.9333333333333,33.2666666666667,14.5666666666667,2.5,41.1,9.4
"2009:Q4",20,11,1,0,60.5666666666667,11.8666666666667,17.9333333333333,5.83333333333333,74.7,28.9,-5
"2010:Q1",34,21,1,0,85.3,10.7333333333333,15.4,6.1,34,25.6,0.6
"2010:Q2",14,11,0,0,28.8,17.3333333333333,24.6666666666667,10,23.1,39.4,2.2
"2010:Q3",1,0,0,0,0.1,22.6666666666667,31.8666666666667,13.5,0.3,42.2,10.6
"2010:Q4",31,19,2,0,79.4333333333333,13.1333333333333,18.6,7.6,30,34.4,-2.8
"2011:Q1",29,23,2,0,101.766666666667,9.6,14.6666666666667,4.46666666666667,29.7,26.7,-2.8
"2011:Q2",14,7,0,0,21.8666666666667,17.2333333333333,24.3,10.2,21.8,38.9,1.1
"2011:Q3",1,0,0,0,0.1,23.6333333333333,32.7,14.5333333333333,0.3,38.9,11.1
"2011:Q4",12,9,0,0,19.8,12.1333333333333,18.8333333333333,5.43333333333333,17.3,30.6,-3.9
"2012:Q1",23,15,1,0,62.8,10.3666666666667,16.6,4.13333333333333,31.2,23.3,-4.4
"2012:Q2",8,4,1,0,20.8,18.7666666666667,26.8,10.8,29.5,40.6,1.1
"2012:Q3",1,0,0,0,0.266666666666667,23.5666666666667,33.2,13.9333333333333,0.8,41.1,10
"2012:Q4",26,20,3,0,95.2666666666667,13.2333333333333,18.8666666666667,7.56666666666667,42.7,37.2,-1.1
"2013:Q1",13,10,0,0,22.8333333333333,10.0333333333333,16.9666666666667,3.1,14,26.1,-4.4
"2013:Q2",10,4,0,0,10.3,20.3,28.4666666666667,12.1333333333333,15.5,42.2,6.7
"2013:Q3",2,2,0,0,4.96666666666667,23.3333333333333,31.9666666666667,14.7,12.4,42.8,8.9
"2013:Q4",5,4,0,0,11.1333333333333,12.5333333333333,20.3333333333333,4.76666666666667,10.7,29.4,-5.5
"2014:Q1",23,12,1,0,51.3,12.4666666666667,19,5.96666666666667,30.5,27.2,-1
"2014:Q2",4,2,1,0,15.5333333333333,20.0666666666667,28.4,11.8,34.3,41.1,4.4
"2014:Q3",3,2,0,0,4,24.2,32.5,15.8666666666667,8.9,40,11.7
"2014:Q4",23,18,2,0,87.9,15.1333333333333,20.9,9.36666666666667,60.7,36.1,0.6
"2015:Q1",6,3,2,0,25.7333333333333,13.1666666666667,19.5333333333333,6.73333333333333,34.3,28.9,-2.1
"2015:Q2",6,3,0,0,16.8666666666667,19.8,27.7666666666667,11.8,24.4,41.7,2.8
"2015:Q3",2,0,0,0,0.333333333333333,24.3333333333333,32.9666666666667,15.7333333333333,0.5,41.7,10
"2015:Q4",23,12,0,0,29.2666666666667,13.3333333333333,19.8,6.86666666666667,10.7,35.6,-2.7
"2016:Q1",31,23,2,0,95.9333333333333,12.2333333333333,17.7333333333333,6.73333333333333,38.9,25.6,-0.5
"2016:Q2",10,5,0,0,12.0333333333333,20.2666666666667,28.1666666666667,12.3333333333333,11.4,40,6.7
"2016:Q3",0,0,0,0,0,23.2,32.2666666666667,14.1,0,40,9.4
"2016:Q4",26,19,3,0,79.9666666666667,12.4,18.0666666666667,6.73333333333333,53.8,31.7,-2.7
"2017:Q1",38,30,7,0,174,11.0333333333333,15.7666666666667,6.36666666666667,52.1,26.1,-1.6
"2017:Q2",11,7,1,0,26.0666666666667,19.4,26.9666666666667,11.8666666666667,28.2,41.7,2.8
"2017:Q3",0,0,0,0,0,24.6333333333333,33.4666666666667,15.7,0,43.3,8.3
"2017:Q4",13,8,0,0,20.4666666666667,12.9666666666667,19.8666666666667,6.03333333333333,21.8,31.1,-1
"2018:Q1",25,18,3,0,92.7,10.6333333333333,16.5666666666667,4.66666666666667,64.8,28.9,-1.6
"2018:Q2",7,5,1,0,22.0666666666667,18.7,26.5333333333333,10.9,30,38.9,1.7
"2018:Q3",0,0,0,0,0,23.4333333333333,32.5,14.3666666666667,0,40,10.6
"2018:Q4",15,11,1,0,41.3666666666667,13.3666666666667,20.1666666666667,6.53333333333333,25.7,29.4,-0.5
"2019:Q1",40,26,4,0,134,10.3,15.1,5.53333333333333,53.6,23.9,-1.6
"2019:Q2",10,8,1,0,33.3666666666667,19.1,26.3,11.9,30.5,39.4,6.1
"2019:Q3",2,0,0,0,1,24.1,32.6666666666667,15.5333333333333,2,40.6,7.2
"2019:Q4",17,12,0,0,42.3333333333333,13.5,20.5333333333333,6.46666666666667,23.9,32.2,-0.5
"2020:Q1",15,8,0,0,23.0333333333333,11.2333333333333,17.2333333333333,5.23333333333333,17.3,27.8,0
"2020:Q2",9,5,0,0,16.9666666666667,20.3,28.5,12.1,23.1,39.4,2.8
"2020:Q3",1,0,0,0,0.166666666666667,25.1666666666667,34.3333333333333,16,0.5,44.4,12.8
"2020:Q4",10,6,0,0,17.6333333333333,13.6333333333333,21.3,6,19.8,35.6,-0.5
"2021:Q1",21,13,1,0,37.8,10.8666666666667,17.0666666666667,4.63333333333333,28.4,28.3,-2.7
"2021:Q2",2,0,0,0,0.2,20.3,29.1,11.5333333333333,0.3,42.8,4.4
"2021:Q3",2,0,0,0,0.433333333333333,24.1666666666667,33.6,14.7333333333333,1,42.8,8.3
"2021:Q4",28,19,2,0,121.666666666667,12.1666666666667,17.3666666666667,7,137.4,32.2,-0.5
"2022:Q1",5,3,0,0,12.1333333333333,11.2666666666667,18.5333333333333,4.03333333333333,24.4,28.9,-2.7
"2022:Q2",10,3,0,0,6.33333333333333,19.8666666666667,28.3666666666667,11.3,4.1,40.6,0.6
"2022:Q3",3,1,0,0,2.36666666666667,25,33.9666666666667,16.0666666666667,5.3,45.6,11.7
"2022:Q4",17,13,2,0,74,12.4,18.9666666666667,5.8,53.8,36.1,-1.6
"2023:Q1",38,31,0,0,108.166666666667,9.53333333333333,14.5333333333333,4.5,25.1,22.2,-1.6
"2023:Q2",4,2,0,0,3.36666666666667,18.0333333333333,25.3666666666667,10.7,3.8,38.3,2.8
"2023:Q3",3,0,0,0,0.7,24.0333333333333,32.5333333333333,15.5333333333333,1.5,41.7,11.1
"2023:Q4",18,13,1,0,47.8333333333333,14.1,20.9666666666667,7.2,40.6,35,-0.5
"2024:Q1",37,27,1,0,82.9,11.5333333333333,16.1666666666667,6.9,29,23.3,0.6
"2024:Q2",5,5,0,0,18.3666666666667,19.6,27.8,11.3666666666667,18.5,38.9,3.3
"2024:Q3",1,0,0,0,0.266666666666667,24.9333333333333,34.1666666666667,15.6666666666667,0.8,43.3,11.7
"2024:Q4",24,19,2,0,61.9666666666667,13.8,20.2666666666667,7.4,49.8,38.9,0
